,title,ingredients,instructions
342,"Японский омлет с рисом и курицей ""Оякодон""",вода грудка_куриная зелень лук рис сахар соевый_соус соль яйцо_куриное,"Рис Басмати Mix ТМ ""Мистраль"", либо любой другой отвариваем в подсоленной воде в соотношении 1:2, в течение 15 минут, после закипания, до того как рис впитает всю влагу. Риса можно взять немного меньше, но мы очень любим рис и поэтому такое количество на две порции. | Пока варится рис, куриную грудку нарезаем произвольно, но не мелко, для того чтобы при обжарке она не стала сухой. | Лук нарезаем тонко полукольцами. | В холодную сковороду наливаем 6 ст. л. соевого соуса и ставим на средний огонь. Доводим до кипения. | Как только соевый соус закипит добавляем к нему лук и сахар. Тушим в течение 3 минут на среднем огне. | К луку добавляем курицу и обжариваем её в течение 4 - 5 минут на сильном огне, но избегаем подгорания. | Яйца взбиваем венчиком. Не солим, так как в соевом соусе достаточно соли. | Равномерно покрываем яичной смесью курицу. Уменьшаем огонь, накрываем крышкой, не мешаем. Жарим в течение 4 мин., пока не схватятся яйца. Омлет получается очень вкусным. | В тарелку выкладываем рис, количество по вашему вкусу. | Сверху риса укладываем омлет. Я разрезала на сегменты. Посыпаем зеленым луком или любимой зеленью."
343,Средиземноморское овощное рагу с рисом,баклажан каперсы лук маслины масло_оливковое орехи_кедровые помидор рис сахар сельдерей_черешковый смесь_перцев соль тимьян уксус чеснок,"Берём рис Акватика Color Mix от ""Мистраль"", заливаем водой в соотношении 1 к 2,5, доводим до кипения, уменьшаем огонь и варим 35 минут до готовности при закрытой крышке. | Пока рис варится, берём баклажан, моем, режем полосками или полукольцами, если баклажан ""худенький"", как у меня. Засыпаем солью и оставляем на 15 минут, чтобы вышла горечь. | Берём лук и чеснок, чистим и режем кубиками. Сельдерей режем тонкими полосками. | Баклажаны смываем от соли, отжимаем и обжариваем до румяности на оливковом масле. | Добавляем нарезанные лук, чеснок и сельдерей и обжариваем ещё 5 минут. | Кладём нарезанные кубиками помидоры и половинки маслин. Добавляем свежемолотую смесь перцев, сахар, уксус и листики тимьяна (у меня сушёный), всё перемешиваем и тушим ещё 5 минут. Соль на ваше усмотрение. | Добавляем каперсы, перемешиваем. | К этому моменту рис уже готов. Добавляем рис к овощам, перемешиваем, отключаем огонь. | На сухой сковороде обжариваем кедровые орешки. | Подаём рагу горячим, посыпав кедровыми орешками. Приятного аппетита!"
344,"А-ля ""Гефилте гелзеле""",бекон кожа_куриная лук огурец помидор редис рис рукола смесь_перцев соль укроп чеснок яйцо_куриное,"Сначала займёмся фаршем. Рис отвариваем в подсоленной воде в соотношении 1 к 2 до готовности. | Бекон мелко нарезаем. | Лук режем кубиками, чеснок мельчим. | Бекон обжариваем на сковороде до золотистых, но мягких шкварок. | Добавляем лук и жарим на среднем огне минут 5-7. | Затем добавляем рис, перемешиваем, оставляем на огне на 3 минуты, снимаем и охлаждаем. | В остывший фарш добавляем соль, перец (можно добавить немного любимых специй), яйцо и хорошо перемешиваем. Хи-хи! У меня яйцо попалось двухжелтковое)) | Впечатлительным следующее фото смотреть не рекомендую! :D Куриную кожу моем, очищаем от всего, что нам может не понравиться (перья, плёнка, лишний жир, и не бойтесь порвать, куриная кожа очень прочная). | Фарш выкладываем на куриную кожу, сворачиваем рулетиком и укладываем их на противень, накрываем фольгой и отправляем в духовку на 40-45 минут. В процессе жарки появится куриный жир, им можно поливать рулеты, чтобы они быстрее подрумянились."
345,Яблочное ризотто с копченым лососем,бульон лосось_(холодного_копчения) лук маскарпоне масло_растительное петрушка рис рукола_(для_украшения) смесь_перцев соль цедра_лимона яблоко,"Репчатый лук нарезаем мелкими кубиками. | Яблоко нарезаем кубиками покрупней. | Обжариваем лук на растительном масле 5 минут. | Добавляем яблоко и жарим ещё 3 минуты. | Отмеряем стакан риса,... | ... добавляем его в сковороду и жарим ещё пару минут. | Затем порциями добавляем бульон и, часто помешивая, доводим рис до готовности. | Рыбу нарезаем кубиками, оставляя пару тоненьких ломтиков для украшения. | В готовый рис добавляем: рыбу, измельчённую петрушку, лимонную цедру, соль и перец по вкусу. | Я в предыдущем шаге забыла добавить маскарпоне, ничего страшного, добавляем сыр, снова хорошо перемешиваем и выключаем газ. Оставляем под крышкой на 5-7 минут и подаём."
346,Куриные желудочки с рисом из духовки,"желудки_куриные_(или_чуть_меньше,_или_чуть_больше,_сколько_есть) лук масло_растительное морковь перец_болгарский рис соль специи","Итак, начнем с приготовления желудков. Мы их поставим варить до полуготовности с набором продуктов, предложенных на тарелочке. Т. к. бульон от желудков нам нужен для блюда, то предлагаю после закипания первую воду слить. А во вторую уже добавить лук, морковь, лавровый лист и перец-горошек и варить около 40 мин. Посолить, как для супа. | Пока варятся желудки, можно подготовить овощи. Лук и перец нарезаем кубиками. Лук можно мельче, перец покрупнее. Морковь трем на крупной терке. В сковороду наливаем немного растительного масла и обжариваем лук до мягкости, добавляем перчик и жарим ещё 5 мин. | Добавляем морковь и, помешивая, обжариваем ещё минут 10. На этом пока можно остановиться и промыть рис. Т. к. у меня не было дома пропаренного белого риса, я готовила с коричневым. | Тем временем приготовились наши желудочки. Достаем их из бульона, а сам бульон процеживаем. | Снова ставим на газ сковороду с овощами и добавляем к ним нарезанные желудочки. Сильно мелко резать не нужно. Я каждый желудочек резала на 3 части. Тушим с овощами минут 10. Эту смесь нужно немного посолить. И при, желании, добавьте свои любимые специи. | Затем, сюда же добавляем промытый рис и аккуратно всё перемешиваем. Держим на огне буквально пару минут и выключаем. | Перекладываем нашу смесь в форму для духовки. | Заливаем бульоном на 0,5 см выше смеси. | Накрываем всё это фольгой и отправляем в разогретую до 190-200 градусов духовку на 50-60 мин. До готовности риса. Когда будете проверять готовность, фольгу приоткрывайте ложкой или другим прибором с ручкой, т. к. оттуда будет идти горячий пар. Когда жидкости будет совсем мало, как бы влага на дне, то можно выключить духовку и оставить на 20 мин. внутри. Всё дойдет до нужной кондиции. :) | Вот такую красоту я достала через час из духовки. Кстати, у меня же был коричневый рис, а белый, возможно, приготовится быстрее. | Приятного всем аппетита! :) Желудочки получаются очень мягкими, а рис как перышки.. ммм.. вкусно! :) Надеюсь, что я Вас соблазнила! ;)"
347,Паэлья с киноа и курицей,грудка_куриная киноа лук масло_оливковое перец_болгарский перец_черный помидор соль чеснок,"Лук и чеснок мелко нарезать. | Обжарить с добавлением оливкового масла. | Добавить нарезанный перец. Я взяла замороженный. Готовить несколько минут, чтобы овощи слегка размягчились. | Добавить нарезанные грудки, обжарить. | Добавить нарезанные кубиками помидоры, потушить. | Добавить смесь риса и киноа. | Я взяла смесь риса и киноа ""Басмати Quinoa Mix"" от Мистраль. | Добавить воду, чтобы она покрывала рис с киноа. Посолить, поперчить, тушить около 15-20 минут. | Подать к столу. Приятного аппетита!"
348,"Рисовые котлеты ""Простые""",йогурт лук масло_растительное рис специи сухари_панировочные сыр_голландский яйцо_куриное,"Продукты | Сыр натереть, лук мелко нарезать, соединить йогурт, яйца, лук и сыр, добавить специи и все перемешать. | Рис отварить, и добавить к сырной массе. | Все перемешать, и убрать в холодильник минимум на два часа | Разогреть сковородку, сформировать котлетки, обвалять в сухарях, и обжарить с двух сторон до золотой корочки"
349,Рисовая запеканка с копченым сыром,вода масло_сливочное пряности рис сметана сухари_панировочные сыр_копченый яйцо_куриное,"Засыпаю рис в кастрюлю, добавляю воду и довожу до кипения. | Огонь убавляю и готовлю при закрытой крышке примерно 35 минут, пока рис не впитает всю воду. Перекладываю рис в миску. | Добавляю к рису сливочное масло, перемешиваю. Даю рису остыть. | В другой миске взбиваю яйца со сметаной. | Для приготовления этой запеканки я использовала вот такой копченый сыр ""Провола"". Сыр натираю на средней терке. | К остывшему рису добавляю натертый копченый сыр, сметану, взбитую с яйцами, прованские травы. Соль я не добавляю, так как сыр содержит достаточное её количество. | Перемешиваю ингредиенты. | Круглую разъемную форму диаметром 20 см смазываю сливочным маслом и посыпаю панировочными сухарями. | Выкладываю рисовую массу в форму. | Выпекаю запеканку в разогретой до 180 градусов духовке до золотистой корочки (примерно 50 минут). Приятного Вам аппетита!"
350,Рисовые сардельки с печенью,кишки_(примерно_3_метра) лук масло_растительное молоко орех_мускатный перец_черный печень рис сало соль чеснок яйцо_куриное,"Сало и печень индейки нарежьте кубиками и сложите в одну глубокую миску. | Лук обжарить до золотистого цвета в небольшом количестве растительного масла. Добавить его к печени и салу. Вбить 3 яйца и добавить выдавленный черeз пресс чеснок и специи. Размешать и влить молоко. | Всыпать промытый, но СЫРОЙ Акватика Микс. Посолить, размешать и дать постоять 15 минут пока вы будете заниматься черевой. | Надеть череву на насадку для приготовления колбасы, с помощью мясорубки или вручную, как я, начинить их фаршем. Если у вас нет насадки, что делать. Я увиделa в интернете такую идею. Срезаете верхнюю часть пластиковой бутылки, на горлышко закрепляете череву, а в получившийся конус накладываете начинку. | Очень важно не набить их туго, а самый верный способ - вполовину. Рис начнёт расти, впитывая все соки с печёнки, а черева, наоборот, сужаться. Завяжите концы и скрутите сардельки. | Готовятся такие сардельки на пару примерно 1 час 10 минут под закрытой крышкой. | Вкуснейший обед готов."
351,Рис с креветками и овощами,брокколи имбирь креветки мандарин_(цедра_и_сок) масло_растительное перец_сладкий_красный перец_черный рис соевый_соус соль чеснок яйцо_куриное,"Креветки очистить. | Панцири креветок залить 500мл воды, добавить корень имбиря и очищенный чеснок, довести до кипения и варить 5 минут. Слить воду через дуршлаг. | Рис промыть и отварить в креветочном отваре в соотношении 1:2 в течение 30 минут. | Брокколи разделить на небольшие соцветия. Перец нарезать полосками. | Взбить яйца с солью и черным перцем. | Раскалить в большой сковороде растительное масло. И дальше обжарить, помешивая, овощи по очередности с интервалом в 10 секунд. Сначала брокколи. | Затем перец. | И креветки. (Не успела сфотографировать, сори!) Выложить в сковороду рис и продолжать жарить все вместе еще 1 минуту. | Затем сдвинуть все ингредиенты в центр сковороды, горкой, вот так. | По бокам вылить аккуратно яичную смесь и помешивая дать яйцам прожариться. | Перемешать яйца с рисом, овощами и креветками. Заправить соевым соусом и мандариновым соком."
352,Яйца с рисом по-неаполитански,масло_сливочное приправа рис сыр_голландский чеснок яйцо_куриное,"Яйца сварить вкрутую, остудить, очистить. Рис сварить в подсоленной воде. Соотношение риса и воды 1:2. Количество риса можно брать чуть больше-меньше. Я варила 300 гр риса в 600 мл воды. | Натереть сыр на тёрке. Очистить чеснок (количество зубчиков по вкусу) - я люблю по-острее) Вот такие у меня контейнеры есть красивые))) | Форму для запекания смазать маслом (растительным или сливочным). Смешать отваренный остуженный рис с половиной сыра (100 г ), измельчённым чесноком и приправами по вкусу. Я использовала смесь перцев, соль не добавляла, ведь рис варился в подсоленной воде. | Положить рис в форму. | Сверху положить половину масла сливочного (кусочками). Масла можно и больше для сочности, но я много масла не использую) | Нарезать яйца вдоль на 2-4 части. Можно использовать яйцерезку. Яйца можно использовать перепелиные - тогда, конечно, штук 10, очень красиво смотрится! | Выкладываем и чуть утрамбовываем яйца в рис. | Сверху посыпаем оставшимся сыром (100 г ), и выкладываем оставшиеся кусочки масла на яйца. Можно посыпать любой зеленью - так ещё красивее будет! | Разогреваем духовку до 200 градусов и запекаем 15-20 минут до румяной корочки. Можно сверху полить сметаной, но оригинальный рецепт без этого) Вот такая красота получается! | Очень просто, очень ароматно (ароматы на весь дом), очень доступно! Можно использовать как самостоятельно горячее блюдо (я так и делаю). Можно как гарнир к мясу или рыбе (так любит муж). Приятного аппетита!!!"
353,Постный а-ля плов с грибами,вода зелень куркума лук масло_растительное перец_душистый рис соевый_соус соль чеснок шампиньоны,"Отмерить 2 стакана (200-граммовых) риса и обжарить его на оливковом масле, | до прозрачности. Это займет минут 5. | Залить рис теплой водой. Посолить, поперчить, добавить куркуму и перец. | Довести до кипения, прикрутить огонь почти до минимума, накрыть крышкой и тушить до готовности. На это уйдет примерно 20-30 минут. Первые минут 20 крышку не открывать! | Лук очистить и нарезать мелкими кубиками. | Шампиньоны вымыть и нарезать мелкими пластинками. | Обжарить лук с грибами на оливковом масле. | Влить соевый соус и тушить до мягкости лука. | Зелень измельчить, чеснок нарезать тонкими кольцами и | добавить к зажарке. Выключить огонь. Перемешать. Поперчить. | Готовый рис должен получиться немного сухим, золотистым и рассыпчатым. Если получился другим, ничего страшного - тоже будет очень вкусно! | Смешать рис с грибной зажаркой. | Ароматного Вам аппетита!"
354,Ризотто с курицей и овощами,бульон лимон лук морковь окорочок перец_болгарский помидор рис чеснок,"Из окорочков отварите бульон. Затем их порезать на небольшие кусочки, обжарить и выложить на тарелочку. | Приготовим овощи. Лук мелко порезать, морковку натереть на крупной терке. Перец болгарский и помидор нарезать кубиками. Чеснок мелко покрошить. Я беру 6 зубчиков чесночка (может найдется еще такой любитель и тоже столько положит). Лимон порезать кружочками. Я беру целый лимон по своему вкусу (люблю кисленькое), но думаю хватит и четвертинки для насыщенности блюда. Рис промыть и залить водой для набухания. | Приступаем к приготовлению. Я начинаю жарить овощи в масле, на котором жарились окорочка, мне так вкуснее. Жарю на умеренном огне (на 4). Сначала обжарим лучок до золотистого цвета. Добавим морковочку, обжарим ее минуты 3-4 и добавим перчик болгарский. Его я минуток 5 обжариваю, как только он становится немного мягкий, сразу добавляю помидоры. Их достаточно 2 минутки обжарить. | Затем добавим окорочка, помешаем и положим рис (воду с него слить). Все перемешать и влить 4 стакана бульона. Когда блюдо закипит, огонь убавить на минимум (я на 1 ставлю), посыпать чесночком, сверху выложить кольца лимона и накрыть крышкой. Оставить тушиться примерно на 30-40 минут. | По истечению времени лимон вытащить из сковородки, ризотто перемешать и попробовать. (Лимон с пловом не мешать) Если рис сыроват, то добавьте немного бульона и потушите еще немного. Когда ризотто будет готов, сверху присыпьте зеленью, запах будет стоять обалденный. У меня сегодня, к сожалению, не оказалось зеленушки в холодильнике, даже замороженной не осталось ( ( | Ну вот Вам моя ризотточка))) Моей семье очень нравится, надеюсь у кого-то из Вас тоже приживется данный рецепт. Приятного Всем аппетита!!!"
355,Бабка из моркови и гороха Айдахо,гвоздика горох корица крупа_манная масло_сливочное молоко морковь сахар сметана соль сухари_панировочные яйцо_куриное,"Лучше всего подойдет желтый горох, я беру Айдахо желтый колотый от фирмы Мистраль. Его не надо замачивать предварительно, просто промыть и варить 30-40 минут до готовности. | Морковь почистить, помыть и натереть на крупной терке. | В сотейник выложить морковь, залить молоком. | Закрыть крышкой и готовить, изредка помешивая на медленном огне до мягкости моркови. | Отмерить манку. Я брала от Мистраль. | В готовую морковь всыпать манку, размешать. (манка сразу впитает остатки жидкости, и вам захочется добавить еще молока, но не надо, так и должно быть). | Выключить огонь, накрыть крышкой о оставить минут на 10. | Отварной горох заправить сливочным маслом посолить. | В горох добавить морковь, пюрировать все блендером. (ну если нет блендера прокрутить несколько раз через мясорубку). | В остывшую массу добавить тростниковый сахар. | Вбить яйца, пряности. Хорошо перемешать. | Форму для запекания смазать маслом и обсыпать сухарями. Выложить нашу морковно гороховую массу. | Запекать в духовке при температуре 180 0С в течение 15 - 20 минут. | Подавать со сметаной."
356,Гречка по-купечески,крупа_гречневая лук масло_растительное морковь томатная_паста фарш чеснок,"1. Гречку промыть, смазать сковороду маслом (можно даже сливочным) и высыпать туда нашу крупу, подсушить на среднем огне. Далее я высыпаю ее в миску, дабы не мыть потом 2 сковородки. | 2. Натереть морковь, порезать лук (это можно делать во время нашей ""сушки""). Обжарить в растительном масле до золотистого цвета. Далее добавляем наш фарш, разбивая комочки. И в конце добавить томатную пасту (или порезанные помидоры БЕЗ кожицы), тщательно перемешать. И жарить на среднем огне минут 5 (пока фарш не потемнеет) | 3. К мясу и овощам выложить гречку | 4. Залить кипятком так, чтобы гречка была слегка прикрыта водой. Посолить. Тушить на медленном огне под крышкой пока вода не испариться. Взять вилочку и попробовать, если гречка еще не готова, долить еще немного воды, повторить действия. В готовую гречку по-купечески добавить мелко порезанный чеснок (или использовать чесночницу), перемешать. Можно добавить черный молотый перец и лавровый лист. | Приятного аппетита!"
357,Перлотто с белыми грибами,бульон вино_белое грибы крупа_перловая лук масло_растительное масло_сливочное перец_черный соль томаты_вяленые чеснок,"Перловку заливаем холодной водой на ночь, чтобы она как следует размокла. Затем промываем проточной водой, пока вода не будет прозрачной. Если грабы используем замороженные, то переставляем на ночь их просто в холодильник из морозилки чтобы они оттаяли. | Подготовим остальные ингредиенты. | Мелко режем лук и чеснок. Отправляем на хорошо разогретую сковороду с растительным маслом. Я использую рафинированное растительное масло ""Олейна"". Припускаем до прозрачности в течение 3-х минут. Добавляем в сковороду сливочное масло и перловку. Продолжаем помешивать и жарить крупу до прозрачности. Добавляем размороженные белые грибы! Выпариваем всю жидкость. | Вливаем белое вино и полностью его выпариваем! | Вливаем понемногу теплый овощной бульон так, чтобы он слегка покрывал перловку. Закрываем крышку и томим, периодически подливая овощной бульон, до готовности перловки. На это уходит порядка 30-40 минут! Солим и перчим по вкусу. | Наше полезное и питательное блюдо - перлотто - готово! Раскладываем по порционным тарелочкам и подаем к столу!"
358,Ризотто с горошком и яйцом-пашот,бульон вино_белое горошек_зеленый лук масло_оливковое масло_сливочное пармезан рис смесь_перцев соль чеснок яйцо_куриное,"Горошек разморозить в холодной воде. Отварить в кипящей воде пару минут, воду слить и поместить горох в ледяную воду на пару минут (если горошек молодой, этот шаг можно пропустить). Пюрировать в блендере. | Для приготовления ризотто использую рис белый среднезерный «Арборио» от Мистраль, мыть его не нужно! Подготовить ингредиенты: бульон процедить, чеснок продавить через пресс, лук мелко покрошить. | В сотейнике растопить сливочное масло, затем добавить к нему оливковое. На медленном огне обжарить-притомить мелко нарезанный лук до прозрачности. Затем добавить к нему сухой рис. Ризотто нужно постоянно помешивать. | Влить сухое белое вино, дать испариться алкогольным парам, затем вливать небольшими порциями бульон, чтобы рис его впитывал, при этом нужно помешивать ризотто. С момента высыпания риса до окончания приготовления ризотто пройдет от 12 до 15 минут (степень готовности - на ваш вкус)! Пробуем на соль с учетом солености сыра. | В конце приготовления добавить пюре из зеленого горошка - перемешать, чеснок, тертый пармезан - перемешать и немного прогреть. Выкладывать в тарелки и украсить яйцом-пашот. По желанию можно положить кусочек масла. | Яйцо-пашот приготовить заблаговременно: в пищевую пленку для свч (поместив ее в чашку) разбить яйцо, завязать и варить 3-4 минуты в кипящей воде."
359,Ленивые голубцы на сковороде,зелень капуста_белокочанная капуста_квашеная лист_лавровый лук масло_растительное перец_красный_жгучий приправа рис смесь_перцев сметана соль томаты_в_собственном_соку фарш яйцо_куриное,"Для приготовления ленивых голубцов берём рис ""Ориент"" от ""Мистраль"". Отмеряем полстакана риса, это как раз составляет 100 г. Заливаем неполным стаканом воды, доводим до кипения и варим на медленном огне 10 минут. Рис должен оставаться полусырым. Готовый рис отставляем остывать. Я обычно ставлю в раковину на мокрую холодную тряпочку или полотенце. | Пока рис остывает, нарезаем мелкими кубиками свежую и квашеную капусту, репчатый лук. | Берём мясной фарш, у меня смешанный, кладём остывший рис. | Добавляем яйцо, нарезанную капусту (оба вида), половину нарезанного лука, соль, свежемолотую смесь перцев. Всё тщательно перемешиваем. | Из фарша делаем небольшие котлетки. Из этого количества у меня получилось 14 котлет. Котлеты можно заморозить впрок и использовать по необходимости. | На растительном масле (2 ст. ложки) на большом огне обжариваем котлетки до румяности. | Одновременно на другой сковороде на растительном масле (1 ст. ложка) обжариваем до золотистости оставшийся нарезанный репчатый лук. | Добавляем к луку томаты в собственном соку, соль, приправы. Перемешиваем. | Добавляем сметану. Разводим всё водой, перемешиваем. Не бойтесь, если соус будет жидким, рис впитает его. | Доводим всё до кипения. | Заливаем соусом котлетки - ленивые голубцы, добавляем лавровый лист и по желанию красный жгучий перец. Доводим до кипения, убавляем огонь и тушим на медленном огне 20 минут. | Подаём ленивые голубцы горячими, посыпав зеленью, у меня укроп. Приятного аппетита!"
360,"Ризотто ""Весеннее""",бульон вино_белое горошек_зеленый лук масло_оливковое масло_сливочное пармезан рис спаржа фасоль чеснок,"Ингредиенты. Рис для ризотто промывать нельзя, иначе смоется весь крахмал, и оно не получится кремообразным. | 1. Порезать лук-шалот, зеленый лук и чеснок как можно мельче. У стручковой фасоли отрезать корешок и каждую разрезать на 2 или 3 части в зависимости от длинны. У спаржи отломать жесткие концы и разрезать по диагонали на две части. Пармезан натереть на мелкой терке. | 2. Разогреть оливковое масло и половину сливочного в сковороде с толстым дном. Выложить лук-шалот и зеленый лук и готовить, помешивая, 2 минуты. Добавить чеснок и готовить еще 2 минуты. | 3. Всыпать рис, все размешать и прогреть, так чтобы рис стал очень горячим, но не менял цвета. | 4. Влить вино и готовить еще минуту, пока все вино не испарится. | 5. Забросить в бульон спаржу и фасоль, готовить 4 минуты и выложить шумовкой на тарелку. | 6. Поставить таймер на 20 минут (рис впитывает бульон 18-20 минут). Добавить полтора половника горячего бульона в рис и готовить, постоянно мешая, до полного впитывания бульона в рис. Добавлять по половнику бульона, как только рис впитает ранее добавленную жидкость. (Если добавлять слишком много бульона за один раз, рис не будет иметь такой кремообразной консистенции, как надо). | 7. Рис вам сам скажет, когда ему нужна дополнительная жидкость: будет видно, что весь бульон впитан, и если провести ложкой по дну, останется след. | 8. Через 14 минут добавить горошек к рису вместе со спаржей, фасолью, солью и перцем. В это же время начинайте пробовать рис: он готов, когда рис уже мягкий, но внутри рисинки сохраняют совсем чуть-чуть жестковатой текстуры (как паста al dente). Если готовить ризотто слишком долго, оно превратится в кашу. Продолжать добавлять бульон по необходимости. Убрать ризотто с огня, добавить половину пармезана, оставшееся сливочное масло и еще пол-половника бульона, чтобы ризотто оставалось влажным и кремообразным. Накрыть ризотто крышкой и оставить на 3 минуты «отдыхать». Выложить ризотто в тарелки. Каждую тарелку стукнуть несколько раз о ладонь, чтобы поверхность была ровной. Подавать с оставшимся тертым Пармезаном."
361,Ризотто с баклажанами,баклажан бульон вино_белое лук масло_оливковое пармезан перец_черный петрушка рис соль,"Баклажаны мою, чищу от кожуры, нарезаю кубиками. | Лук чищу, мою, нарезаю кубиками. | Обжариваю кубики баклажана на сковороде, используя 2 столовые ложки оливкового масла. Солю баклажан по вкусу. | Половину обжаренных кубиков измельчаю с помощью блендера. | Для приготовления ризотто я использую рис ""Арборио"" ТМ ""Мистраль"". | На другой сковороде обжариваю на оставшемся оливковом масле репчатый лук до мягкости. К луку добавляю рис. | Помешивая, обжариваю рис, пока он не впитает все масло. | Вливаю сухое белое вино и готовлю рис на среднем огне, пока вино полностью не впитается. Затем добавляю небольшими порциями очень горячий овощной бульон, постоянно помешивая блюдо. | За 5 минут до готовности добавляю пюре из баклажанов, соль и перец черный молотый по вкусу. Рис не должен перевариться, а быть чуть твердоватым в середине. | Добавляю тертый пармезан, перемешиваю ризотто. | Накрываю сковороду крышкой и оставляю примерно на 2 минуты. Подаю ризотто, добавив обжаренные кубики баклажана и посыпав зеленью петрушки. Приятного Вам аппетита!"
