,title,ingredients,instructions
297,"Паэлья, почти по-Валенсийски",Рис — 300 г | Курица (филе) — 400 г | Свинина (отварная вырезка) — 100 г | Говядина (отварная) — 200 г | Кальмар (чищенные) — 100 г | Креветки (отварные) — 100 г | Лук репчатый — 1 шт | Помидор — 1 шт | Горошек зеленый (к/с) — 4 ст. л. | Вода (кипяток) — 300 мл | Чеснок — 3 зуб. | Соль | Шафран | Масло растительное — 4 ст. л.,"Ингредиенты. | Курицу порезать на небольшие кусочки. На сковороде нагреть 2 ст. л. масла и обжарить на нем курицу примерно 10 мин. (до полуготовности ). Затем добавить нарезанные кубиком свинину и говядину. Кальмары полосками. Все добавить к курице. Закрыть крышкой и томить на медленном огне 10 мин. | Добавьте мелко резанный лук и резанные, очищенные от кожицы, помидоры. Готовьте на медленном огне без крышки 10 мин. Снимите сковороду с огня. | Возьмите спецсковороду для паэльи или большую толстостенную. Я брала чугунную, налейте остатки масла. Поставьте на огонь и как только масло начнет шипеть положить в него промытый рис от ""Мистраль"". Жарите помешивая, пока он не станет золотистым. Положите к нему содержание другой сковороды, горошек, креветки, тертый чеснок и шафран. Перемешать и залить кипятком. | Закройте крышкой и готовьте на медленном огне примерно 15 мин. Снимите с огня и дайте постоять 5 мин."
298,Паэлья из горсти креветок,"Чеснок — 1 зуб. | Помидор — 1 шт | Масло оливковое — 1 ст. л. | Петрушка — 1/3 пуч. | Вода — 700 мл | Креветки (невареные, панцири и головы ) — 5-7 шт | Рис (арборио) — 1/2 стак. | Шафран — 0,2 г | Соль — 1/4 ч. л. | Коктейль морской — 1 упак.","Бульон (это совершенно недолго и очень важно): чеснок и петрушку нарубить и обжаривать на оливковом масле. С креветок снять панцири и головы, добавить в сковороду. | С помидора снять кожуру (предварительно обдать кипятком), нарезать и добавить в сковороду, обжаривать пару минут. | Добавить воду, прямо в сковороде проварить 15-20 минут, так все ароматы соединятся, и бульон будет очень насыщенным. | Процедить. | Пока варился бульон, можно подготовиться к паэлье: снять кожицу с помидора, нарезать, перец чили и чеснок (можно использовать совсем немножко) нарезать, если нет морепродуктов - это не значит, что паэлья не получится, главное, найти креветки для бульона! И, конечно, рис арборио - идеально подходит. | Обжарить чеснок и чили, добавить нарезанный помидор, обжаривать около 5 минут, помидор начнет немного карамелизироваться. | Добавить рис | Добавить шафран, сразу перемешать и больше не прикасаться! | Примерно через 10 минут жидкость наполовину, даже больше, выпарится (на среднем огне), пришло время добавить ""морской коктейль"" - разложить по всей сковороде, чуть придавливая, но не перемешивать! (если нет ""коктейля"", это не страшно, благодаря бульону вкус уже будет очень насыщенный). | Когда жидкость полностью выпарится - готово! Украшать можно по вкусу. Приятного аппетита! | На дне сковороды должен получиться сокоррат — карамелизованный рис (слегка пригоревший.)."
299,Паэлья с морепродуктами и чоризо,"Креветки (панцири) — 8 шт | Морковь — 1 шт | Лук белый — 1 шт | Зелень (любая, у меня петрушка) — 0,5 пуч. | Соль — 0,5 ч. л. | Вода — 1 л | Рис (ТМ ""Мистраль"" длиннозерный Индика Gold) — 0,5 стак. | Лук репчатый — 1 шт | Чоризо (тонких) — 10 ломт. | Лайм (или лимон) — 1 шт | Масло растительное — 2 ст. л. | Перец болгарский — 0,5 шт | Томаты в собственном соку (+ сок) — 3 шт | Паприка сладкая — 1 ч. л. | Кальмар — 1 шт | Креветки (крупные) — 8 шт | Шафран (щепотка) — 1 шт","Первым делом необходимо приготовить бульон. Помыть креветки и снять с них панцирь. В кастрюльку положить панцири, крупно нарезанную морковь, лук, зелень. Поставить на сильный огонь под крышкой. Когда вода закипит, посолить и варить на небольшом огне при открытой крышке 20-30 минут. | Лук и чоризо порезать на небольшие кубики. | В сковороде разогреть растительное масло, опустить в него лук. | Когда лук станем прозрачным, добавить чоризо. Жарить все вместе пару минут, помешивая. | Перец нарезать кубиком. | Положить его в сковороду, обжаривать минуту. | Добавит томаты в собственном соку и пол банки сока из под них. | Затем всыпать паприку, перемешать. | Шафран немного растереть и залить теплой водой. | В сковороду влить бульон, я влила около 6-7 половников. Уменьшить огонь до среднего, чтобы были небольшие ""бульки"". Влить воду с шафраном. Кальмар нарезать полукольцами и распределить по сковороде. С этого момента мы блюдо уже не мешаем. | Отмеряем необходимое количество риса. | Добавляем рис, всыпая его равномерно по всей сковороде. Оставляем рис вариться на среднем огне, без крышки 10-12 минут. | У креветок без панциря надрежем спинку. Вынем темную полоску. | Выкладываем креветки по кругу в сковороду. Продолжаем готовить ещё 5 минут. Через 5 минут вся вода должна впитаться в рис. Должно появиться небольшое шипение и потрескивание, потому что рис с низу должен немного поджаритья. | Чтобы рис не пригорел с низу, необходимо резко прекратить процесс готовки. Для этого смочите кухонное полотенце холодной водой, сверните его и поставьте на него сковороду. Наройте крышкой и дайте паэлье настояться 5 минут. | Паэлью можно поставить на стол прямо в сковороде, украсив её ломтиками лайма или лимона. | Или разложить по тарелкам."
300,Ризотто цвета сирени,"Рис (арборио) — 150 г | Бульон (овощной или куриный) — 500-700 мл | Лук белый — 1 шт | Вино белое сухое — 1-2 бан. | Масло оливковое — 3 ст. л. | Соль | Сыр твердый (для подачи, по вкусу) | Капуста краснокочанная (2-3 листа)","Бульон приготовить заранее, не принципиально из чего он будет готовиться, главное чтобы вам нравился его вкус, поставить его на огонь в отдельной ёмкости, он должен немного кипеть. Лук мелко нарезать. В сковороде с толстым дном разогреть оливковое масло и обжарить лук до полупрозрачного состояния. | Для ризотто нужен рис с кремовой консистенцией в готовом виде, идеален арборио. | Добавить рис в сковороду к луку, тщательно перемешать, чтобы каждая зернинка была окутана маслом. | Добавить вино, продолжать готовить и подождать пока выпарится алкоголь и останется только тонкий аромат. | Добавить в рис 2 половника бульона, помешивая готовить пока не выпарится жидкость. Постепенно добавлять ещё понемногу, но не нужно чтобы рис варился в жидкости, я бы назвала это томиться. Чтобы сориентировать вас по времени, то примерно 20 минут он точно будет готовиться, затем нужно пробовать на вкус, следить за жидкостью! | Тем временем пару листов краснокочанной капусты измельчить (блендером например) и через марлю или сито выжать сок. | Тем временем рис начал раскрывать свой аромат и структуру, пробуем! Конечно, он ещё не готов, но нужно пробовать и добавить соль по вкусу. | В ёмкость с соком добавить немного горячего бульона и добавить к рису, не забываем мешать! Рис не должен превратиться в кашу или стать слишком рассыпчатым. Но всё же особенность ризотто в том, чтобы рис остался слегка недоготовленным (слегка!) - альденте. | Арборио, действительно, очень просто готовить, я сделала для себя именно такой вывод, немного внимания и всё получится)) Подавать с тёртым сыром, приятного аппетита!"
301,Ризотто бьянко,"Рис (для ризотто: сорт арборио, карнароли) — 300 г | Бульон (овощной) — 1 л | Масло оливковое (extra virgin) — 20 г | Масло сливочное — 50 г | Лук репчатый — 40 г | Вино белое сухое — 100 мл | Сыр твердый (тертый пармезан) — 40 г | Соль (по вкусу) | Перец черный (по вкусу)","Варим овощной бульон... | В холодную сковороду (желательно чтобы она была чугунной) добавляем масло сливочное и оливковое, затем добавляем мелко нарезанный лук. Пассеруем лук на среднем огне несколько минут до прозрачности. | Теперь черед риса. Я использовала рис марки ""Арборио"" от ТМ ""Мистраль"" | Итак, добавляем рис для ризотто и обжариваем его вместе с луком. Обжариваем до тех пор пока зерна риса не начнут впитывать в себя масло и станут прозрачными по краям. Если Вы решите готовить ризотто с добавками, то на этой стадии уже можно добавить дополнительные ингредиенты. | Затем в рис добавляем алкоголь- белое или красное вино или то, что необходимо по рецепту. Выпариваем алкоголь практически полностью. | После того как алкоголь выпарился добавляем небольшими порциями бульон (мясной, рыбный или овощной). Важно, чтобы бульон, который мы вливаем был горячим, но не кипящим. В это время за рисом все время необходимо следить и постоянно помешивать, от плиты лучше не отходить. Потому как мы будем постоянно добавлять бульон и аккуратно помешивать. Главное, не переборщить с бульоном, если сразу влить большую порцию, то рис быстро дойдет до готовности, бульон не выпариться и получится каша. | Готовим ризотто около 16-18 минут до состояния ""аль денте"". Рис должен сохранить свою форму, стать слегка твердым, но не жестким. Рис не должен быть сухим иначе он будет тяжело перевариваться, а если слишком жидким, то получится обычная рисовая каша. Итак, когда рис набухнет и будет выделять крахмал (Вы это увидите на стенках сковороды) снимаем сковороду с огня и оставим ее постоять 1-2 минуты. | Далее в готовое ризотто добавляем кусочки холодного сливочного масла и аккуратно перемешиваем до кремового состояния. Перед подачей посыпаем тертым пармезаном и подаем на теплых тарелках."
302,Рис по-каталонски,Рис — 1 стак. | Вода — 1 л | Колбаски — 150 г | Грудка куриная — 300 г | Лук репчатый — 1 шт | Горошек зеленый — 30 г | Сок томатный — 3 ст. л. | Куркума — 1 ч. л. | Чеснок — 2 зуб. | Масло оливковое — 2 ст. л. | Соль (по вкусу) | Перец черный (по вкусу),"Для приготовления этого блюда, я предлагаю использовать рис сорта ""Италика"" от ТМ ""Мистраль"" | Куриное филе нарезаем небольшими кусочками | Лук очищаем и нарезаем небольшими кубиками. Разогреваем сковороду и обжариваем филе с двух сторон, затем добавляем лук. Обжариваем все вместе на небольшом огне до тех пор, пока лук не приобретет золотистый цвет. | Колбаски нарезаем небольшими кусочками... | ... и выкладываем их в сковороду. Затем добавляем томатный сок и воду 700 мл, доводим до кипения и высыпаем рис, соль, перец и куркуму. Хорошо перемешиваем и готовим под крышкой на среднем огне. Если необходимо подливаем воду и готовим до полной готовности риса. | Когда рис будет готов добавляем горошек и чеснок (пропущенный через пресс), готовим ещё несколько минут и снимаем сковороду с огня. | Рис по- каталонски готов, можно подавать!"
303,Копченая паэлья,"Рис — 250 г | Морепродукты (крупные креветки/мидии/кальмары) — 500 г | Перец болгарский — 1 шт | Перец чили — 1 шт | Помидор (крупный мясистый) — 1 шт | Лимон — 1 шт | Петрушка — 1 пуч. | Чеснок — 1 зуб. | Вино белое сухое — 200 мл | Лук репчатый (крупная луковица + средняя для бульона) — 2 шт | Горошек зеленый — 0,5 стак. | Масло оливковое — 100 мл | Соль (и перец по вкусу)","Подготовить продукты. Традиционно паэлья бывает с морепродуктами, с мясопродуктами, с тем и другим вместе, либо вегетарианской. Я выбрала паэлью с морепродуктами. Конечно, оптимальнее всего готовить со свежими, даже свежайшими, морепродуктами, но если такой возможности нет, а паэльи хочется, то морепродукты стоит предварительно разморозить в холодильнике. Желательно, чтобы они не были варено-морожеными и не находились в составе вареномороженого коктейля. Т. к морепродукты имеют разное время готовки, даже морожеными их стоит покупать по отдельности. Для самой паэльи оптимален специальный рис испанского происхождения, среднезерненый, неслипающийся, впитывающий жидкость и ароматы. Такими свойствами обладает несколько сортов риса, в том числе ""Иберика"" и ""Арборио"", оба эти сорта производит ТМ ""Мистраль"". В данном случае я использую ""Арборио"". | Приготовление копченой паэльи начинается со специальной обработки риса. Как было выяснено мною в ресторане, рис для своей паэльи они коптят сами. Для того, чтобы воспроизвести это в домашних условиях мне потребовалась глубокая толстостенная сковорода, одноразовая алюминиевая форма, которая свободно становится в сковороду, и щепа для копчения. Вместо формы можно использовать лист фольги сложенный в несколько раз. В форме или фольге шилом/иголкой проделываются отверстия для прохождения дыма. | На дно сковороды насыпатся щепа слоем 1-1,5 см. | Поверх устанавливается форма, либо свободно укладывается фольга, в нее насыпается рис. Рис стоит насыпать также тонким слоем для свободной циркуляции дыма. | Эта конструкция помещается на сильный огонь, спустя пару минут щепа начнет дымиться, в этот момент нужно уменьшить огонь и закрыть конструкцию крышкой. Внутри сковороды начнет образовываться дым и ""обволакивать рис"". Если дым выходит из под крышки, по периметру соединения сковороды с крышкой нужно обмотать мокрое полотенце, оно будет препятствовать выходу. На время домашнего копчения нужно включать вытяжку и открывать окно. В этом случае запах дыма, который неизбежно появится, выветрится где-то в течение часа. * Выше я описала общий принцип домашнего копчения. С некоторой практикой, таким же образом можно научиться коптить и другие продукты. | Проведя под крышкой около 10-15 минут мой рис начал приобретать желтоватый цвет, я его перемешала в форме и оставила еще на 10 минут. К этому времени дым в сковороде уже сам переставал образовываться - щепа уже отдала, что могла. Таким образом спустя 25-30 минут мой рис изменил цвет и приобрел характерный копченый запах. Закроем его крышкой до момента пока он не понадобится, чтобы запах не улетучился раньше времени. | Теперь можно приступать к приготовлению самой паэльи. Традиционно паэлья готовится на открытом огне и в этом случае из-за высокой температуры используется холодная вода. В домашнем варианте стоит использовать горячую жидкость и имеет смысл варить бульон. Бульон может быть овощным/мясным или рыбным (например на креветочных панцирях). У меня были в/м мидии в ракушках в с/с (других, увы, не найти). Поэтому я решила использовать сок от мидий, как основу бульона. Размороженные мидии я высыпала в кастрюлю и прогрела около 1ой минуты вместе с вином, веточками петрушки и долькой лимона. Если у вас есть свежие мидии - нагревайте их на сильном огне, пока они не раскроются. Нераскрывшиеся мидии нужно выбросить. | Мидии извлечь, к оставшейся жидкости добавить воду, луковицу и душистый перец и поставить на огонь, чтобы поддерживать бульон на грани кипения. * На чашку риса обычно требуется 2 чашки бульона. | Подготовить все морепродукты. Я использовала: тигровые креветки- очистить от панцирей, оставив хвостики, удалить кишечную вену; Кальмары - очистить, нарезать колечками; Подготовленные мидии - очистить от водорослей, часть освободить от ракушек, часть оставить в ракушках для красоты; я также добавила пару осьминогов и маленьких каракатиц - это на мой вкус. | Подготовить овощи: традиционно используется болгарский перец - нарезать соломкой; луковица - измельчить; зеленый горошек или стручковая фасоль - разморозить; томаты - ошпарить, снять кожицу и мелко порубить, либо в последствии просто протереть целый томат через сито; Я также предпочитаю использовать чеснок - раздавить ножом, и острый перчик чили - разрезать пополам, для ароматизации масла. | Сковорода для паэльи называется также - ""паэлья"" (paella). Широкая в диаметре, с низкими бортиками, с двумя ручками по краям, она должна иметь равномерный нагрев и хорошо проводить тепло, рис насыпается в нее тонким слоем, чтобы блюдо готовилось равномерно. Я использую сотейник, хотя чем ниже будут бортики, тем лучше. Для начала на сильном огне разогревается оливковое масло. Для его ароматизации я добавляю раздавленный зубчик чеснока и перчик чили. | Когда чеснок зарумянится, извлечь из сковороды и добавить те ингредиенты, которые требуют наиболее длительной готовки. У меня были сырые очень крупные креветки, которые бы не успели приготовиться за минуту, поэтому я их предварительно обжариваю по полминуты с каждой стороны. Таким образом они также ароматизируют масло, и с другой стороны напитываются ароматным маслом сами. Несколько крупных креветок я оставляю целыми для украшения блюда, плюс так они сохраняют свою сочность. | Креветки достать из сковороды, всыпать и спассеровать на получившемся масле лук до прозрачности. | Следом добавить полоски болгарского перца. слегка обжарить. На этом этапе я извлекаю перец чили, т. к не люблю слишком острое. | Следом всыпать рис, рис засыпается круговым движением, в среднем - одна пригоршня на человека (0,5 стакана). Рис пассеруется до прозрачности. | Следом добавить протертый томат. Перемешать. На этом этапе также можно добавлять специи - типа паприки или шафрана. Для усиления их аромата, они сначала прогреваются на сковороде вместе с рисом, а потом добавляется томатное пюре, чтобы они не начали гореть. * Удивительно, но в нашей паэлье не было шафрана, хотя он считается неотъемлимой частью этого блюда. Возможно, шафран просто ""закончился"" на нас)), но я предположила, что это сделано специально, чтобы не перебивать подкопченный вкус и цвет. Поскольку я пытаюсь воспроизвести то, что пробовала - в свою паэлью шафран я также решила не добавлять. | Время заливать бульон. В отличие от ризотто весь бульон заливается сразу, паэлья последний раз перемешивается. После того как бульон закипит уменьшается огонь и больше паэлью мешать нельзя. | Благодаря равномерному нагреву, спустя около 20 минут рис должен дойти до готовности. За пару минут до этого на рис выкладываются море- и другие продукты, которые требуют минимального времени готовки. Начиная с тех, которым времени требуется больше. У меня - сначала крупные креветки. | Следом - осьминоги, каракатицы и сырые креветки, потом кальмары. * Поскольку паэлью принято подавать прямо в сковороде, где она готовилась, имеет смысл выкладывать морепродукты декоративно. | Следом добавляется горошек и его стручки. * Если используется сырая фасоль или жесткий горошек, (или мясные продукты), то их стоит закладывать на этапе с болгарским перцем (или до него - сответственно), чтобы они могли размягчиться и успели приготовиться. | За полминуты до готовности, в последнюю очередь, декоративно укладываются мидии, т. к. в моем случае они уже готовы, и их нужно только разогреть. Плюс дольки лимона для морепродуктов. Готовая паэлья снимается с огня и накрывается сухим полотенцем на 5 минут, чтобы оно впитало лишнюю влагу. * Есть еще один ""фокус"". Когда паэлья приготовилась, перед тем как снять ее с огня, огонь включается на максимум на 30-60 секунд, это делается для того, чтобы на дне образовалась твердая зажаристая корочка из риса. Эта корочка называется sokarratt (сокаррет), и у многих гурманов считается ""самым смаком"". Так что не стоит переживать, если у вас такая корочка образовалась случайно)). Впрочем, на сковороде с антипригарным покрытием этого ""фокуса"" вряд ли удастся добиться даже специально. | Готовая паэлья подается в сковороде, в которой она готовилась. Конечно, не лишним окажется в этом случае и бокал холодного белого сухого вина, или сангрии. * Подкопченный вкус у меня получился вполне выраженным. Для меня это было очень необычно и интересно с точки зрения вкуса. А теперь и вы знаете о такой странной разновидности паэльи!"
304,"Паэлья с мидиями, перцем и горошком","Рис (Арборио) — 1 стак. | Мидии — 1 стак. | Горошек зеленый — 1 стак. | Перец болгарский (красный) — 0,5 шт | Бульон — 2 стак. | Помидор — 1 шт | Лук репчатый — 1 шт | Чеснок — 6 зуб. | Масло оливковое — 3 ст. л. | Соль — по вкусу | Перец черный — по вкусу | Шафран — по вкусу | Лимон (для подачи) — по вкусу","Для этого рецепта нам понадобится 1 стакан риса Арборио ТМ Мистраль. | На помидоре сделать надрез крест на крест, обдать его кипятком и снять кожуру. Лук, чеснок и помидор мелко нарезать. | В глубокой сковороде разогреть оливковое масло и обжарить лук и чеснок 1-2 минуты. | Добавить нарезанный помидор и обжаривать еще 1 минуту. | Влить горячий бульон, посолить, поперчить, добавить щепотку шафрана и довести до кипения. | Рис промывать НЕнадо. Высыпать его на сковороду и распределить ровным слоем, но не перемешивать. Бульон должен полностью покрыть рис. Поверх риса уложить болгарский перец, нарезанный соломкой. Убавить огонь до минимума. | Накрыть сковороду фольгой и готовить около 10 минут до частичного впитывания бульона. | Затем снять фольгу и выложить мидии и зеленый горошек, снова накрыть фольгой и готовить до полного впитывания бульона. Затем увеличить огонь до максимума и готовить 1 минуту, чтобы на дне сковороды получилась корочка из риса. | Затем снять рис с огня и оставить паэлью на 10 минут. После этого снять фольгу и подать на стол, украсив дольками лимона."
305,Рис с чесноком по-японски,Рис — 200 г | Чеснок — 5 зуб. | Масло растительное — 1 ст. л. | Лук зеленый — 1 пуч. | Яйцо куриное — 2 шт,"Рис предварительно отвариваем до полуготовности. Рис используем ТМ ""Мистраль"" | Мелко режем и обжариваем чеснок | Добавляем и обжариваем рис | Кладем яйца, перемешиваем | Добавляем зеленый лук, обжариваем минуты 2, добавляем немного воды, накрываем крышкой. Готовим еще 10 минут."
306,Рис в тайском стиле с кальмарами и омлетом,"Рис (Басмати) — 1 стак. | Яйцо куриное — 4 шт | Сливки (или молоко) — 150 г | Перец болгарский — 1 шт | Фасоль стручковая (примерно, можно заменить на сельдерей) — 200 г | Кальмар (филе) — 2 шт | Чеснок (2 зубчика) — 2 шт | Соевый соус — 20 мл","Ставим вариться рис. Я выбрала рис Басмати от Мистраль - этот рис не слипается, очень ароматный и вкусный. Стакан риса промываем, заливаем водой из расчета на 1 стакан риса - 2 стакана воды, ставим на огонь и варим 20 минут. После чего не открываем крышку еще минут 10 - чтобы рис ""отдохнул"". | Тем временем нарезаем тонко болгарский перец (лучше взять перец разных цветов), стручковую фасоль нарезаем соломкой. Стручковую фасоль можно заменить сельдереем. | На растительном масле обжариваем фасоль и перец с раздавленным зубчиком чеснока минуты 3. | Готовим омлет - взбить венчиком яйца со сливками (молоком), вылить массу на сковороду, накрыть крышкой, сделать самый маленький огонь. Минут через 5 омлет будет готов. | Кальмар очищаем и нарезаем тонкой соломкой. Чтобы легко очистить кальмара от пленки, положите его в дуршлаг и полейте сверху кипятком из чайника - вся пленка ""свернется"" шариками и вы легко смоете ее водой. | Добавляем нарезанного кальмара на сковороду с овощами. | Перемешиваем, вливаем соевый соус - 20 мл и любой кисло-сладкий соус - 20 мл. Я добавила устричный соус. (К сожалению, в список ингридиентов его внести невозможно). Перемешали, томим не более одной-двух минут. | Добавляем в сковороду готовый омлет. | Добавляем рис. Перемешиваем. Омлет придает воздушность и невесомость блюду, получившийся соус пропитывает рис и делает его еще более вкусным. | Выкладываем на блюдо или подаем порционно и зовем ваших домашних. Приготовьте это блюдо для ваших гостей - составляющие простые, а получается очень вкусно и необычно."
307,Жареный рис с овощами и яйцом,"Рис (ТМ Мистраль, длиннозерный Индика) — 100 г | Лук репчатый — 1/2 шт | Чеснок (крупный или 2 маленьких) — 1 зуб. | Имбирь (кусочек размером с большой палец) — 1 шт | Кукуруза (мини) — 6 шт | Фасоль стручковая (свежая) — 100 г | Перец болгарский (красный или оранжевый) — 1/2 шт | Сельдерей черешковый (стебель) — 1 шт | Соевый соус — 3 ст. л. | Соль (по вкусу) — 1 шт | Масло растительное (для обжарки) — 3 ст. л. | Яйцо куриное — 1 шт | Паприка сладкая — 1 ч. л. | Перец красный жгучий (по вкусу) — 1 шт | Кинза (по вкусу) — 1 шт | Лайм (для подачи) — 1/2 шт | Кунжут (черный и белый для подачи) — 1 ч. л. | Вода — 200 мл","Рис необходимо промыть до тех пор пока вода не станет полностью прозрачной. Рис заливаем стаканом воды, ставим на огонь. Когда вода закипит, уменьшаем огонь и готовим 10-12 минут до полуготовности. Рис в процессе готовки не мешаем, солим в самом конце. | Пока вариться рис, тонко нарезать лук полукольцами, чеснок и имбирь тонкими кружочками. | Подготовим овощи. Мини кукуруза разрезаем вдоль пополам. Фасоль моем, срезаем концы, если это необходимо и разрезаем пополам. Перец чистим от семян и белых прожилок, нарезаем полосками. У сельдерея снимаем внешние волокна и тоже нарезаем полосками. | Когда рис будет готов, перекладываем его в сито, проверяем на соль. Немного промываем кипяченой водой и оставляем, чтобы с него полностью стела вся влага. | В сковороде вок разогреваем растительное масло, можно использовать любое, но лучше всего подойдет кунжутное или подсолнечное. На протяжении всей готовки держим сильный огонь. Опускаем в масло чеснок имбирь. Обжариваем пол минуты до легкой золотистости. | Добавляем лук и зеленую фасоль. Жарим периодически помешивая 2-3 минуты. | Добавляем сельдерей, обжариваем ещё пару минут, а затем и перец. Жарим ещё 3-4 минуты. Овощи должны оставаться крепкими, но при этом не сырыми. Их необходимо пробовать, чтобы точно поймать нужную степень готовности. | В последний момент добавляем нежную мини кукурузу и жарим ещё пару минут. | Параллельно с жаркой овощей в другой сковороде приготовим яйцо. Яйцо разбейте в миску и взбейте с щепоткой соли. Вылейте яйцо на разогретую с маслом сковороду, когда оно немного схватиться, начните перемешивать его лопаткой. Необходимо получить небольшие хлопья жаренного яйца. | В вок с овощами добавляем соевый соус. Когда соус полностью впитается в овощи, достанем их из вока и отложим. | В вок наливаем ещё немного масла и добавляем почти остывший рис. | Вмешиваем в рис паприку и обжариваем его 7-10 минут до готовности. Рис должен получиться именно жаренным, немного румяным и с небольшой корочкой. | Рис смешиваем с яйцом и жаренными овощами. Выкладываем на тарелку, присыпаем кунжутом, кинзой. Подаем с ломтиками лайма."
